iter	Passed	Remaining
408	4590	1021
409	4598	1009
410	4607	997
411	4616	986
412	4628	974
413	4638	963
414	4647	951
415	4655	940
416	4664	928
417	4673	916
418	4682	905
419	4691	893
420	4699	881
421	4708	870
422	4719	859
423	4731	848
424	4741	836
425	4751	825
426	4761	814
427	4770	802
428	4780	791
429	4788	779
430	4800	768
431	4810	757
432	4820	745
433	4833	735
434	4844	723
435	4854	712
436	4866	701
437	4877	690
438	4887	679
439	4899	668
440	4909	656
441	4920	645
442	4932	634
443	4942	623
444	4952	612
445	4964	601
446	4974	589
447	4984	578
448	4994	567
449	5004	556
450	5013	544
451	5023	533
452	5033	522
453	5044	511
454	5054	499
455	5065	488
456	5077	477
457	5088	466
458	5099	455
459	5109	444
460	5119	433
461	5128	421
462	5138	410
463	5149	399
464	5160	388
465	5172	377
466	5182	366
467	5193	355
468	5204	344
469	5215	332
470	5225	321
471	5236	310
472	5246	299
473	5256	288
474	5267	277
475	5277	266
476	5287	254
477	5297	243
478	5308	232
479	5320	221
480	5329	210
481	5340	199
482	5353	188
483	5364	177
484	5374	166
485	5385	155
486	5394	144
487	5405	132
488	5415	121
489	5424	110
490	5435	99
491	5445	88
492	5456	77
493	5465	66
494	5476	55
495	5487	44
496	5497	33
497	5508	22
498	5518	11
499	5528	0
