iter	Logloss
386	0.1267231641
387	0.126593089
388	0.1264047415
389	0.126212855
390	0.1260264007
391	0.1258025301
392	0.1256610876
393	0.1255055546
394	0.1253328991
395	0.12506913
396	0.124850538
397	0.1246843201
398	0.1245618942
399	0.1244077734
400	0.124175118
401	0.1240031897
402	0.1238221985
403	0.1235952915
404	0.1233528835
405	0.123105366
406	0.1229582439
407	0.122869987
408	0.1227069161
409	0.1225758865
410	0.1222692434
411	0.1221398703
412	0.121956189
413	0.1218267189
414	0.1216295836
415	0.1214176052
416	0.1211840695
417	0.1209154348
418	0.120653169
419	0.1204462894
420	0.1202461125
421	0.1200977918
422	0.1199311847
423	0.1197625052
424	0.1196261502
425	0.1194482177
426	0.1193299849
427	0.1189799964
428	0.1187403151
429	0.11852122
430	0.1183168096
431	0.1181044812
432	0.1179065126
433	0.117725137
434	0.1174901455
435	0.1173019888
436	0.1171686599
437	0.1170357553
438	0.1168810337
439	0.11673127
440	0.1165714795
441	0.1162405675
442	0.1161416766
443	0.1159031435
444	0.1156951845
445	0.115636418
446	0.1154783311
447	0.1152366286
448	0.1151202176
449	0.1148914827
450	0.1147566781
451	0.1146431924
452	0.1144853683
453	0.1142758597
454	0.11407959
455	0.1138773904
456	0.1136813101
457	0.1135408624
458	0.1133654848
459	0.1131760824
460	0.1130151523
461	0.1128293384
462	0.1126786585
463	0.1125645685
464	0.112377524
465	0.1122220256
466	0.1120823553
467	0.1119948182
468	0.1118777801
469	0.1116015178
470	0.1114477189
471	0.1112418721
472	0.1111465061
473	0.1108961358
474	0.1107679832
475	0.1106702747
476	0.1105365513
477	0.1103074163
478	0.1101809585
479	0.1099277473
480	0.1096860659
481	0.109439149
482	0.1092660551
483	0.1091280165
484	0.1089952911
485	0.1088202005
486	0.1086605286
487	0.1085410727
488	0.1083982387
489	0.108242924
490	0.1080562773
491	0.1078144971
492	0.1076396644
493	0.1074592414
494	0.1073128904
495	0.1071500325
496	0.107035968
497	0.106933859
498	0.1068249186
499	0.1067123679
