iter	Logloss
0	0.6460371566
1	0.6116432884
2	0.5901611804
3	0.5697609199
4	0.5433937138
5	0.5235369812
6	0.5035430731
7	0.480112343
8	0.4703455801
9	0.4533379378
10	0.4419717857
11	0.4338990533
12	0.4288801321
13	0.4236351039
14	0.4125178055
15	0.4041747393
16	0.3982669487
17	0.3922367679
18	0.3862979949
19	0.3816477263
20	0.378299533
21	0.3728572734
22	0.3700710818
23	0.3665365178
24	0.3576796686
25	0.3539426121
26	0.3505052516
27	0.3477559067
28	0.3441496622
29	0.340864627
30	0.3386787187
31	0.3345356841
32	0.3319304314
33	0.3300306728
34	0.3277387359
35	0.326167669
36	0.3245138768
37	0.3210424317
38	0.3163620868
39	0.3141299166
40	0.312310486
41	0.3104893394
42	0.3087906214
43	0.3058195276
44	0.3042297357
45	0.3031975545
46	0.3017304208
47	0.2993034456
48	0.2964019118
49	0.2952881266
50	0.2927628147
51	0.2897465167
52	0.2887892997
53	0.2876226972
54	0.2862242206
55	0.2852916511
56	0.2839189439
57	0.2822748036
58	0.2810616542
59	0.278845904
60	0.2775959291
61	0.2763217588
62	0.275340092
63	0.2743281427
64	0.2727928204
65	0.2718530057
66	0.2708534946
67	0.2694913702
68	0.2683552757
69	0.2675913643
70	0.2663945074
71	0.2653557418
72	0.2645585709
73	0.2640050676
74	0.2633096385
75	0.2624570669
76	0.2611529445
77	0.2600781731
78	0.2596198487
79	0.2586217966
80	0.2577750074
81	0.2559657036
82	0.2551544824
83	0.2545504664
84	0.2538690045
85	0.2532099942
86	0.25235991
87	0.2516753383
88	0.2509841069
89	0.2501071428
90	0.2492691222
91	0.2479142018
92	0.2469168849
93	0.2461551988
94	0.2452802172
95	0.244713615
96	0.243805097
97	0.2429534568
98	0.2420720161
99	0.2412480166
100	0.240553038
101	0.2396761589
102	0.2384792499
103	0.2377966716
104	0.2370053484
105	0.2363539071
106	0.2355243382
107	0.2348407054
108	0.2341652569
109	0.2334157641
110	0.2326543634
111	0.2314099218
112	0.230640524
113	0.2298278159
114	0.2291033993
115	0.2284475192
116	0.2274736297
117	0.2267223654
118	0.2259904556
119	0.2254314892
120	0.2245167002
121	0.2240181028
122	0.2234658855
123	0.2228250208
124	0.2221510937
125	0.2212797411
126	0.2206718384
127	0.2188995128
128	0.2182327812
129	0.2172680469
130	0.2166879188
131	0.2160168444
132	0.2154615724
133	0.2145186148
134	0.2139497539
135	0.2134564629
136	0.2130105145
137	0.2126084738
138	0.2121745757
139	0.2113167014
140	0.2105329313
141	0.2099812119
142	0.2094981278
143	0.2087675994
144	0.2084712523
145	0.2079717884
146	0.2075009493
147	0.2067459487
148	0.2063565421
149	0.2057345104
150	0.2045607552
151	0.2038889377
152	0.20348192
153	0.2028338468
154	0.2022986123
155	0.2018279747
156	0.2011862429
157	0.2007791998
158	0.2002917062
159	0.1996801305
160	0.1991168253
161	0.1986145266
162	0.1981354343
163	0.1977366126
164	0.1973063152
165	0.1965901392
166	0.1959527373
167	0.1956286263
168	0.1948895406
169	0.1944392289
170	0.194027723
171	0.1937138121
172	0.193267093
173	0.1927479267
174	0.1924308872
175	0.1918785678
176	0.1914473314
177	0.1911095089
178	0.1905631551
179	0.1900437962
180	0.1895977317
181	0.1892435226
182	0.1888279463
183	0.1884388208
184	0.1881388169
185	0.1877635001
186	0.18744373
187	0.1869630953
188	0.1866052752
189	0.1861226245
190	0.1854887395
191	0.1850660747
192	0.1847154015
193	0.1841570463
194	0.1837151386
195	0.1831847242
196	0.1828814302
197	0.1823398805
198	0.1818786417
199	0.1812966904
200	0.1808611201
201	0.1805175603
202	0.1802023408
203	0.1798953149
204	0.1795423723
205	0.1789764213
206	0.1785221775
207	0.1782477118
208	0.1778461832
209	0.177502352
210	0.1769927207
211	0.1766198761
212	0.1762003155
213	0.1758076626
214	0.1754989615
215	0.175212898
216	0.1749964884
217	0.1746560511
218	0.1743823146
219	0.1739646272
220	0.1735741186
221	0.1733301596
222	0.1728600704
223	0.172486125
224	0.1721005925
225	0.1717218524
226	0.1712897446
227	0.1710160902
228	0.1708763152
229	0.1705842463
230	0.1701985216
231	0.169895121
232	0.1696101323
233	0.1689141919
234	0.1684752673
235	0.1679930341
236	0.1672669016
237	0.1669116194
238	0.1666638889
239	0.1662183409
240	0.165792366
241	0.165488804
242	0.1651411971
243	0.1648107936
244	0.1645384744
245	0.1642343581
246	0.1639080033
247	0.1637308828
248	0.1632727272
249	0.1629261107
250	0.162631117
251	0.1622615426
252	0.1618714817
253	0.1615330123
254	0.1612737955
255	0.1610325288
256	0.1606799203
257	0.1603369935
258	0.1599783362
259	0.1596711141
260	0.1593061367
261	0.1590022345
262	0.1587266341
263	0.1584479646
264	0.1582246359
265	0.1577300431
266	0.1574182125
267	0.1571590884
268	0.1568399622
269	0.1564935058
270	0.156193834
271	0.155864773
272	0.1555197115
273	0.1552558316
274	0.1550457096
275	0.1547983479
276	0.1545167686
277	0.1541335793
278	0.1537328712
279	0.1533162254
280	0.1530118543
281	0.1526956532
282	0.1521726249
283	0.1518684271
284	0.151601404
285	0.1512984444
286	0.150831262
287	0.1505487567
288	0.1503444473
289	0.1500790813
290	0.1496926634
291	0.1494920566
292	0.1492449418
293	0.1488995368
294	0.1485853234
295	0.148293797
296	0.1480324995
297	0.1476257768
298	0.1473429079
299	0.1471341244
300	0.1469447963
301	0.1466424741
302	0.1463791001
303	0.1462068286
304	0.1459402002
305	0.1456589171
306	0.1452508417
307	0.1449400065
308	0.1447589383
309	0.144383546
310	0.144204358
311	0.1439511224
312	0.1436622271
313	0.1433750504
314	0.1431259862
315	0.1428513394
316	0.1425528033
317	0.1424148867
318	0.1422148362
319	0.1420554652
320	0.1417765164
321	0.1415927181
322	0.141381707
323	0.1410429163
324	0.140758854
325	0.1405993553
326	0.1403788514
327	0.140162125
328	0.1398739768
329	0.1395418498
330	0.1392220772
331	0.1389766289
332	0.1386311986
333	0.1384332967
334	0.1382472278
335	0.1380541826
336	0.1377835118
337	0.1374841865
338	0.1373159357
339	0.1370656961
340	0.136831249
341	0.1366976481
342	0.1365284685
343	0.1362355043
344	0.1360865276
345	0.1359012363
346	0.1357320351
347	0.135467051
348	0.1352486513
349	0.135051468
350	0.1348954001
351	0.1346383969
352	0.13448078
353	0.1342296046
354	0.1339875571
355	0.1336446182
356	0.1333932611
357	0.1332563018
358	0.1330476746
359	0.1327356044
360	0.1324939078
361	0.1322857338
362	0.1320540902
363	0.1318116908
364	0.1315189712
365	0.1312797719
366	0.1310540016
367	0.1307139245
368	0.1304603079
369	0.1302049038
370	0.1299678727
371	0.1297524503
372	0.1296424475
373	0.129427941
374	0.1292144335
375	0.1289842837
376	0.1288092941
377	0.128548641
378	0.1283691407
379	0.128174236
380	0.1279453428
381	0.1276438111
382	0.1274905572
383	0.1272539173
384	0.127041971
385	0.1268966621
